Date,Event,Registered,Attended,No show rate,Waitlist,Recordings,Charge For Lunch,Notes
3/8/2025,SQL Saturday Atlanta 2025 - AI & BI (#1102) - 08 March 2025,511,309,40%,,,,
3/22/2025,AI Saturday Houston 2025 (#1108) - 22 March 2025,210,110,48%,,,,
4/5/2025,SQL Saturday Joinville 2025 (#1104),600,350,42%,,,,
4/5/2025,SQL Saturday Richmond 2025 (#1106),162,98,40%,,,,
4/26/2025,SQL Saturday Haiti 2025 (#1109) - Virtual,121,400,-231%,,,,
4/12/2025,SeaQL Saturday 2025 (#1101),75,69,8%,,,,
5/3/2025,SQL Saturday Austin 2025 (#1112),122,84,31%,,,,
5/3/2025,SQL Saturday Orange County 2025 (#1115),,,0%,,,,
5/3/2025,SQL Saturday Jacksonville 2025 (#1103),578,499,14%,,,,
5/10/2025,SQL Saturday New York City 2025 (#1105),215,190,12%,,,,
5/17/2025,SQL Saturday Raleigh 2025 (#1111),180,118,34%,,,,
5/23/2025,SQL Saturday Salt Lake City 2025 (#1114),171,80,53%,,,,
6/14/2025,SQL Saturday Trujillo 2025 (#1118),70,169,-141%,,,,
6/14/2025,SQL Saturday Montreal 2025 (#1121),60,60,0%,,,,
6/28/2025,SQL Saturday San Diego 2025 (#1113),,,0%,,,,
7/19/2025,SQL Saturday South Florida 2025 (#1116),,,0%,,,,
7/26/2025,SQL Saturday Baton Rouge 2025 (#1110),,,,,,,Lost a box of tickets. Not everyone was scanned in. We gave away at least 350 bags.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
